param,base,other,deviation,comparison,latex_formula
mu_alpha_log,3.06,3.06,0.01,sigma_alpha_1,$[(3.060 - 3.060)/3.060] \times 100 = 0\%$
beta,0.01,0.02,-5.42,sigma_alpha_2,$[(0.014 - 0.015)/0.014] \times 100 = -5\%$
sigma,0.40,0.40,-0.10,sigma_alpha_2,$[(0.398 - 0.399)/0.398] \times 100 = -0\%$
sigma_alpha,0.02,0.02,3.52,sigma_alpha_2,$[(0.019 - 0.019)/0.019] \times 100 = 4\%$
mu_alpha_log,3.06,3.06,-0.00,sigma_alpha_2,$[(3.060 - 3.060)/3.060] \times 100 = -0\%$
beta,0.01,0.01,5.53,base_double_iter,$[(0.014 - 0.014)/0.014] \times 100 = 6\%$
sigma,0.40,0.40,-0.08,base_double_iter,$[(0.398 - 0.399)/0.398] \times 100 = -0\%$
sigma_alpha,0.02,0.02,2.75,base_double_iter,$[(0.019 - 0.019)/0.019] \times 100 = 3\%$
mu_alpha_log,3.06,3.06,-0.03,base_double_iter,$[(3.060 - 3.061)/3.060] \times 100 = -0\%$
beta,0.01,0.01,3.09,base_double_iter,$[(0.014 - 0.014)/0.014] \times 100 = 3\%$
sigma,0.40,0.40,-0.04,base_double_iter,$[(0.398 - 0.398)/0.398] \times 100 = -0\%$
sigma_alpha,0.02,0.02,1.66,base_double_iter,$[(0.019 - 0.019)/0.019] \times 100 = 2\%$
mu_alpha_log,3.06,3.06,-0.02,base_double_iter,$[(3.060 - 3.061)/3.060] \times 100 = -0\%$

